"R0000100","R0173600","R0214900","R0406300","R0618800","R0898500","R1144700","R1519900","R1890600","R2257700","R2445100","R2870600","R3074300","R3401000"
2127,2,3,1,3,3,1,1,3,1,3,3,1,2
2128,6,5,5,3,5,4,4,4,4,7,4,4,4
2129,6,1,1,1,1,1,3,4,4,3,4,3,1
2130,5,3,4,4,4,4,1,1,1,1,1,5,1
2131,5,5,4,4,7,4,4,4,4,7,4,1,1
2132,5,3,5,1,5,1,1,2,1,1,1,1,1
2133,5,1,1,1,1,1,1,1,1,1,1,1,1
2134,5,5,2,4,4,4,4,4,4,4,4,1,1
2135,1,3,1,3,2,3,3,3,3,1,1,1,1
2136,5,1,1,1,1,3,1,1,1,1,1,1,1
2137,5,1,1,1,4,4,4,4,4,4,4,4,4
2138,1,5,1,3,1,1,1,1,1,1,1,1,1
2139,5,1,1,1,1,5,5,5,5,1,1,1,1
2140,5,5,5,5,1,1,1,1,1,1,1,1,1
2141,1,5,5,1,1,1,1,5,1,1,1,1,1
2142,5,5,3,1,1,4,4,3,1,1,1,1,1
2143,1,5,3,-5,8,8,8,3,1,7,1,1,1
2144,1,1,1,3,1,5,7,5,5,5,3,1,1
2145,1,1,1,3,1,1,1,1,1,1,1,1,1
2146,5,1,1,1,1,1,1,1,1,1,1,1,1
2147,1,1,1,1,1,1,1,1,1,1,2,1,1
2148,5,5,3,5,1,7,3,7,3,3,3,1,1
2149,1,3,1,3,1,3,3,1,1,1,1,3,1
2150,5,5,5,3,2,1,3,1,1,1,1,1,1
2151,1,5,1,1,1,1,1,1,1,-5,2,1,1
2152,5,1,1,1,1,3,3,3,1,1,1,1,1
2153,5,1,1,3,1,1,4,4,3,7,1,1,1
2154,5,1,1,1,2,1,1,1,1,1,2,1,2
2155,5,1,1,1,1,1,1,1,1,1,1,1,1
2156,5,1,1,1,1,1,1,1,1,1,1,1,1
2157,1,1,1,1,1,1,1,1,1,1,1,1,1
2158,5,3,3,7,4,4,4,5,5,1,1,1,1
2159,3,1,1,5,5,1,1,1,1,1,1,1,1
2160,2,1,1,1,3,3,7,1,1,1,1,3,1
2161,5,3,3,4,4,4,4,4,4,4,4,4,1
2162,5,3,5,5,3,5,4,4,1,1,1,1,1
2163,1,1,1,1,1,1,1,1,1,1,1,2,2
2164,7,5,3,1,1,2,1,1,1,1,1,1,1
